,title,media,date,datetime,desc,link,img
43,United Airlines fires 593 people for not complying with COVID vaccine mandate,ABC7 Chicago,"Sep 29, 2021",2021-09-29,"United Airlines put in one of the first COVID vaccine mandates, and now it 
is firing nearly 600 employees who have refused to comply with it.",https://abc7chicago.com/united-airlines-covid-vaccine-mandate-jobs/11058442/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
44,What do we know so far about the new Mu,The World Economic Forum,"Sep 3, 2021",2021-09-03,"First discovered in Colombia in January 2021, the Mu variant has so far 
been in about 39 countries. While the existing vaccines might not cover all 
the...",https://www.weforum.org/agenda/2021/09/what-do-we-know-so-far-about-the-new-mu-covid-19-variant-and-how-can-we-prevent-further-mutations/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
45,L.A.'s indoor COVID vaccine mandate: What to know,Los Angeles Times,"Sep 16, 2021",2021-09-16,"You will have to show vaccine proof at L.A. nightclubs and bars. ... 
require proof of COVID-19 vaccination under a new health order to be issued 
by Friday.",https://www.latimes.com/california/story/2021-09-16/new-la-indoor-covid-vaccine-proof-mandate-what-to-know,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
46,Moderna reveals source of COVID-19 vaccine contamination ...,Fierce Pharma,"Sep 1, 2021",2021-09-01,"After yet another contamination report for a Moderna COVID-19 vaccine vial 
in Japan, the company on Wednesday said its contract manufacturer has 
identified...",https://www.fiercepharma.com/pharma/amid-another-report-contaminants-japan-moderna-s-covid-19-vaccine-faces-increased-scrutiny,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
47,"Yes, you can get a flu shot and a COVID-19 vaccine at the same time",PBS,"Sep 30, 2021",2021-09-30,"Amid all the focus on COVID-19 vaccinations, U.S. health experts have 
another plea: Don't skip your flu shot. Flu cases have dropped to 
historically low...",https://www.pbs.org/newshour/health/yes-you-can-get-a-flu-shot-and-a-covid-19-vaccine-at-the-same-time,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
48,"Denmark lifts all Covid restrictions, crediting high vaccine uptake",NBC News,"Sep 10, 2021",2021-09-10,"Government officials lifted the remaining restrictions Friday, including 
the requirement that people show proof of vaccination through a vaccine 
passport to...",https://www.nbcnews.com/science/science-news/denmark-lifts-covid-restrictions-crediting-high-vaccine-uptake-rcna1967,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
49,Even Some Health Care Workers Refuse To Get The COVID ...,NPR,"Sep 18, 2021",2021-09-18,"On top of that, other research shows that since the vaccine first became 
available to health care workers in December 2020, the rate of vaccination 
among nurses...",https://www.npr.org/2021/09/18/1037975289/unvaccinated-covid-19-vaccine-refuse-nurses-heath-care-workers,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
50,"Bills, Sabres games to require proof of COVID vaccine",Spectrum News,"Sep 14, 2021",2021-09-14,"""All guests 12 and older will be required to provide proof of at least one 
COVID-19 vaccine to attend any game or event at Highmark Stadium or 
KeyBank...",https://spectrumlocalnews.com/nys/buffalo/news/2021/09/14/bills--sabres-games-to-require-adults-12--to-show-proof-of-one-vaccine-dose,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
51,Ohio House delays vote on granting exemptions to COVID ...,The Columbus Dispatch,"Sep 29, 2021",2021-09-29,"Ohio GOP leaders wanted a fast vote granting exemptions for COVID-19 
vaccine mandates. They got pushback. Titus Wu. The Columbus Dispatch. Ohio 
House of...",https://www.dispatch.com/story/news/politics/state/2021/09/29/ohio-house-vote-granting-exemptions-covid-vaccine-mandates-house-bill-435/5908749001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
52,Tennis Players Want a Choice About Vaccination; Tours Encourage It,The New York Times,"Sep 12, 2021",2021-09-12,"When the United States Tennis Association announced on Friday that proof of 
coronavirus vaccination would be required for all spectators 12 and older 
to...",https://www.nytimes.com/2021/08/30/sports/tennis/usopen-covid-vaccine-atp-wta.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
53,First Responders Nationwide Resist COVID Vaccine Mandates,USNews.com,"Sep 6, 2021",2021-09-06,"The resurgence of COVID-19 this summer and the national debate over vaccine 
requirements have created a fraught situation for the nation's first 
responders, who...",https://www.usnews.com/news/us/articles/2021-09-06/first-responders-nationwide-resist-covid-vaccine-mandates,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
